上級機關,機關名稱,社群平臺類型,社群名稱,社群連結網址
財政部,臺北國稅局 ,Facebook,松山稅務小精靈（松山國稅局）,https://www.facebook.com/Songshan103/
財政部,臺北國稅局 ,Facebook,中正稅務小精靈（財政部臺北國稅局中正分局）,https://www.facebook.com/TAX.ZHONGZHENG/
財政部,臺北國稅局 ,Facebook,信義稅務小精靈 - 信義國稅局,https://www.facebook.com/xinyi.branch/
財政部,臺北國稅局 ,Facebook,大安愛鄰 稅愛森林,https://www.facebook.com/大安愛鄰-稅愛森林-516960431673671/
財政部,臺北國稅局 ,Facebook,文山稅務小精靈-文山稽徵所,https://www.facebook.com/文山稅務小精靈-文山稽徵所-902304183116293/
財政部,臺北國稅局 ,其他,稅務小精靈Loomio,https://www.loomio.org/g/EMsGfrdW/national-taxation-bureau-of-taipei
財政部,臺北國稅局 ,其他,財政部臺北國稅局松山分局LINE,http://accountpage.line.me/xat.0000122743.s0r
財政部,臺北國稅局 ,Facebook,財政部臺北國稅局大同稽徵所,https://www.facebook.com/財政部臺北國稅局大同稽徵所-606561342763712/
財政部,臺北國稅局 ,Facebook,中南稅務小精靈 -臺北國稅局中南稽徵所,https://www.facebook.com/zhongnan104/
財政部,臺北國稅局 ,其他,北國Happy line,http://www.ntbt.gov.tw/etwmain/front/ETW118W/CON/989/5564920527365689778?tagCode=
財政部,臺灣土地銀行股份有限公司,Blog,土銀房貸部落格,http://blog.yam.com/consumerlbot
財政部,臺灣土地銀行股份有限公司,Facebook,土地銀行 LandBank.tw,https://www.facebook.com/土地銀行-LandBanktw-243970158979587/
財政部,臺灣金融控股股份有限公司 ,Facebook,臺灣銀行粉獅團,https://www.facebook.com/botlion/
財政部,臺灣金融控股股份有限公司 ,YouTube,臺灣銀行籃球隊,https://www.youtube.com/user/botsbl/
財政部,臺灣菸酒股份有限公司 ,YouTube,台酒影音,https://www.youtube.com/channel/UCe1QQlbFDXHSHaqbmalOC-w/
財政部,臺灣菸酒股份有限公司 ,Facebook,吃喝玩樂在台酒,https://www.facebook.com/ttl1898/
財政部,臺灣菸酒股份有限公司 ,YouTube,台灣啤酒,https://www.youtube.com/user/ttltwbeer/
財政部,臺灣菸酒股份有限公司 ,Facebook,台灣啤酒,https://www.facebook.com/beer.taiwan/
財政部,臺灣菸酒股份有限公司 ,YouTube,TTL 台酒生技,https://www.youtube.com/channel/UChCMktYWRG8Ya5MHwYtCYUQ
財政部,臺灣菸酒股份有限公司 ,Facebook,台酒生技粉絲團,https://www.facebook.com/TTL.BIOTECH/
財政部,臺灣菸酒股份有限公司 ,Facebook,Vinata Lady。青春釀製所,https://www.facebook.com/vinatalady/
財政部,臺灣菸酒股份有限公司 ,Facebook,南投酒廠單一麥芽威士忌,https://www.facebook.com/groups/183339155180779/
財政部,賦稅署 ,YouTube,財政部賦稅署 ,https://www.youtube.com/user/8195cechen/
財政部,賦稅署 ,Facebook,賦稅署點點通,https://www.facebook.com/dot.gov.tw
財政部,關務署 ,YouTube,財政部關務署,https://www.youtube.com/user/DGOCTW/
財政部,關務署 ,Facebook,海關緝毒犬,https://www.facebook.com/海關緝毒犬-1412275325674626/
財政部,關務署 ,Facebook,海關博物館,https://www.facebook.com/海關博物館-586534301401320/
財政部,關務署 ,Facebook,關務署臺北關,https://www.facebook.com/關務署臺北關-282039961871164/
財政部,關務署 ,Facebook,臺中關服務小精靈,https://www.facebook.com/臺中關服務小精靈-196597313778024/
財政部,關務署 ,Facebook,關務署基隆關,https://www.facebook.com/KLCB.gov.tw/
財政部,關務署 ,Plurk,關務署,http://www.plurk.com/DGOC
財政部,關務署 ,Plurk,基隆關,http://www.plurk.com/aacustoms
財政部,關務署 ,Facebook,關務署,https://www.facebook.com/customs.tw/
財政部,關務署 ,Facebook,財政部關務署高雄關,https://www.facebook.com/KHHcustoms/
國防部,三軍總醫院,Flickr,三軍總醫院,https://www.flickr.com/photos/tsgh/
國防部,三軍總醫院,YouTube,三軍總醫院,https://www.youtube.com/channel/UCPiJaSnyFuKiRM9ehQvUnJQ/feed
國防部,三軍總醫院,Facebook,三軍總醫院,https://www.facebook.com/tsghpmd/
國防部,中正國防幹部預備學校,Blog,中正國防幹部預備學校,http://ccafps.blogspot.tw/
國防部,中正國防幹部預備學校,YouTube, 中正預校,https://www.youtube.com/channel/UC9FADM69kARZ3doavVaX6nQ/
國防部,中正國防幹部預備學校,Facebook,中正國防幹部預備學校粉絲團,https://www.facebook.com/ccafpspages/
國防部,中正國防幹部預備學校,Flickr,中正國防幹部預備學校,https://www.flickr.com/photos/113975074@N04/
國防部,中正國防幹部預備學校,其他,中正國防幹部預備學校Google+,https://plus.google.com/u/0/109386559118926130337/
國防部,全民國防教育,Facebook,全民國防教育,https://www.facebook.com/aode.mnd/
國防部,空軍司令部 ,YouTube,空軍司令部,https://www.youtube.com/user/cafhqiw/
國防部,空軍司令部 ,Facebook,空軍司令部臉書專頁,https://www.facebook.com/cafhq/
國防部,空軍軍官學校,Facebook,空軍軍官學校,https://www.facebook.com/cafaedu/
國防部,空軍軍官學校,YouTube, 空軍軍官學校,https://www.youtube.com/channel/UCZ0BPSMW22Bq9LVIQNJpYPQ
國防部,空軍航空技術學院,Facebook,空軍航空技術學院,https://www.facebook.com/afats2014/
國防部,青年日報社,Facebook,青年日報,https://www.facebook.com/ydnews123/
國防部,青年日報社,Flickr,青年日報 Youth Daily News ,https://www.flickr.com/photos/ydnews
國防部,青年日報社,YouTube,Youth Daily News 青年日報,https://www.youtube.com/channel/UC47PT9tQ-onpq37O6fVZBIg
國防部,後備指揮部,Facebook,國民革命忠烈祠,https://www.facebook.com/rocshrine/
國防部,後備指揮部,Facebook,國軍示範公墓,https://www.facebook.com/afrc.cms/
國防部,後備指揮部,Facebook,國防部後備指揮部,https://www.facebook.com/AFRC.MND
國防部,後備指揮部,YouTube,國防部後備指揮部,https://www.youtube.com/channel/UCWFgyvs2IU-4vv2PRAr2S4g
國防部,後備指揮部,Flickr,後備指揮部,https://www.flickr.com/photos/afrc_official/sets/
國防部,政治作戰局,YouTube,國防部政治作戰局,https://www.youtube.com/channel/UCPr4Q5jEgaLev7a3AOtItaQ/
國防部,政治作戰局,其他,國防部政治作戰局Google+,https://plus.google.com/106365722567363396369
國防部,軍事新聞通訊社,YouTube,軍聞社,https://www.youtube.com/channel/UCHVLHU-Ke9PUnJgADeomczw/
國防部,軍醫局 ,Flickr,軍醫局,https://www.flickr.com/photos/mabservice/
國防部,軍醫局 ,YouTube,mab service,https://www.youtube.com/user/mabservice2012
國防部,軍醫局 ,Facebook,軍醫粉絲團,https://www.facebook.com/ndmab
國防部,海軍司令部,Facebook,中華民國海軍,https://www.facebook.com/ROCNAVY.tw
國防部,海軍司令部,YouTube,NavyBoy Honor,https://www.youtube.com/user/alexchenwei66/
國防部,海軍司令部,Facebook,中華民國海軍陸戰隊,https://www.facebook.com/pg/ChineseMarineCorp
國防部,海軍軍官學校,Facebook,海軍軍官學校,https://www.facebook.com/R.O.C.NavalAcademy
國防部,海軍軍官學校,YouTube,海軍官校,https://www.youtube.com/channel/UCiH7hGaoNVgDTG5HLsd8Xgw
國防部,國防大學,Facebook,國防大學臉書專頁,https://www.facebook.com/ndurecruit/
國防部,國防大學,Facebook,國防大學招募專頁,https://www.facebook.com/nduenlist/
國防部,國防大學,其他,國防大學Line,http://www.ndu.edu.tw/files/11-1000-576.php
國防部,國防大學,YouTube,國防大學磨課師教學影音平台,https://www.youtube.com/channel/UCVOBjsEsI__ibXLE3b9z5Bw
國防部,國防醫學院,Facebook,國防醫學院（National Defense Medical Center）,https://www.facebook.com/newsndmc/
國防部,國防醫學院,Flickr,國防醫學院,https://www.flickr.com/photos/ndmc/
國防部,國防醫學院,YouTube,國防醫學院 NDMC,https://www.youtube.com/channel/UCfmck86oz8HoZTN_Zxo9hag
國防部,國軍人才招募中心,YouTube,國軍人才招募中心,https://www.youtube.com/channel/UCvi9XeEIKpekj7aqF0ztjdw/
國防部,國軍人才招募中心,Facebook,國軍人才招募中心,https://www.facebook.com/rdrc.mnd/
國防部,國軍花蓮總醫院,Facebook,國軍花蓮總醫院,https://www.facebook.com/hospital805/
國防部,國軍花蓮總醫院,Flickr,國軍 花蓮總醫院,https://www.flickr.com/photos/124124922@N03/
國防部,國軍花蓮總醫院,YouTube,國軍花蓮總醫院,https://www.youtube.com/channel/UC2jeIePmsLK-UqJ7lc9q_lA
國防部,國軍桃園總醫院,YouTube, 國軍桃園總醫院,https://www.youtube.com/channel/UCa79r-zXsTB33T-HBT2BFOg/
國防部,國軍桃園總醫院,Facebook,國軍桃園總醫院,https://www.facebook.com/804mnd
國防部,國軍桃園總醫院,Flickr,國軍桃園總醫院,https://www.flickr.com/photos/804mnd/
國防部,國軍高雄總醫院,YouTube, 國軍高雄總醫院,https://www.youtube.com/channel/UCezDPE0bZbk8-K5l1KVVqnw/
國防部,國軍高雄總醫院,Facebook,國軍高雄總醫院,https://www.facebook.com/802mnd/
國防部,國軍高雄總醫院,Facebook,國軍高雄總醫院左營分院,https://www.facebook.com/806mnd/
國防部,國軍高雄總醫院,Facebook,國軍高雄總醫院岡山分院,https://www.facebook.com/814mnd/
國防部,國軍高雄總醫院,Flickr,國軍高雄總醫院,https://www.flickr.com/photos/118615818@N03/
國防部,國軍臺中總醫院,Facebook,國軍臺中總醫院,https://www.facebook.com/803mnd/
國防部,國軍臺中總醫院,YouTube,八零三,https://www.youtube.com/channel/UCewF1vlGpbehTp2-_rCmeKQ/
國防部,國軍臺中總醫院,Flickr,國軍台中總醫院,https://www.flickr.com/photos/140621519@N02/
國防部,國軍臺中總醫院,其他,國軍臺中總醫院,https://www.instagram.com/tafgh803/
國防部,國軍歷史文物館,Facebook,國軍歷史文物館,https://www.facebook.com/AFM.ROC/
國防部,陸軍司令部,Facebook,中華民國陸軍司令部,https://www.facebook.com/ROC.armyhq/
國防部,陸軍司令部,YouTube,Army-PwoDane R.O.C.,https://www.youtube.com/channel/UC0S3EoJQuSxJBFhWh-n4-eA
國防部,陸軍軍官學校,Facebook,陸軍軍官學校,https://www.facebook.com/ROCmaActivities/
國防部,陸軍專科學校,Facebook,中華民國陸軍專科學校－官網,https://www.facebook.com/aarocAdmissions/
國防部,陸軍專科學校,YouTube,中華民國陸軍專科學校－官網 (Army Academy R.O.C.),https://www.youtube.com/user/ArmyAcademyROC
國防部,福利事業管理處,Facebook,國軍福利站,https://www.facebook.com/gwsmmnd/
國防部,憲兵指揮部,Facebook,憲兵指揮部發言人,https://www.facebook.com/mpcommand/
國防部,憲兵指揮部,YouTube,憲兵指揮部,https://www.youtube.com/channel/UCGrLQwrmaBX87JmpaQmkhRw/
國軍退除役官兵輔導委員會 ,武陵農場,YouTube,武陵農場YouTube,https://www.youtube.com/user/ibestblog/
國軍退除役官兵輔導委員會 ,武陵農場,Facebook,武陵農場 Wuling Farm,https://www.facebook.com/WulingFarm0510/
國軍退除役官兵輔導委員會 ,高雄榮民總醫院 ,Facebook,高雄榮民總醫院,https://www.facebook.com/vghks/
國軍退除役官兵輔導委員會 ,高雄榮民總醫院 ,YouTube,高雄榮民總醫院,https://www.youtube.com/user/KsvghW/
國軍退除役官兵輔導委員會 ,清境農場,Facebook,清境農場 Qingjing Farm,https://www.facebook.com/CingjingFarm/
國軍退除役官兵輔導委員會 ,福壽山農場,Blog,福壽山農場-閱讀網站blog,http://fushoushan-book.blogspot.tw/
國軍退除役官兵輔導委員會 ,福壽山農場,Facebook,福壽山農場粉絲團,https://www.facebook.com/fssfarm/
國軍退除役官兵輔導委員會 ,臺中榮民總醫院 ,Facebook,台中榮民總醫院,https://www.facebook.com/vghtc/
國軍退除役官兵輔導委員會 ,臺北榮民總醫院 ,Facebook,臺北榮民總醫院,https://www.facebook.com/pages/臺北榮民總醫院/214139745442664/
國軍退除役官兵輔導委員會 ,臺北榮民總醫院 ,YouTube,臺北榮民總醫院 Taipei Veterans General Hospital,https://www.youtube.com/channel/UCK331fJHB2_M4JVI8oYN3iA/
國軍退除役官兵輔導委員會 ,臺北榮民總醫院 ,Flickr,臺北榮民總醫院 Taipei Veterans General Hospital,https://www.flickr.com/photos/vghtpe
國軍退除役官兵輔導委員會 ,臺北榮民總醫院 ,其他,臺北榮民總醫院,https://plus.google.com/118267592429407835985
國家發展委員會 ,檔案管理局 ,YouTube,TAIWANarchives,https://www.youtube.com/user/TAIWANarchives/
國家發展委員會 ,檔案管理局 ,Facebook,檔案ing,https://www.facebook.com/Archives.ing/
教育部,青年發展署 ,YouTube,青年發展署影音專區,https://www.youtube.com/user/youthstory/
教育部,青年發展署 ,Facebook,RICH職場體驗網,https://www.facebook.com/rich.gov/
教育部,青年發展署 ,Facebook,壯遊體驗學習網,https://www.facebook.com/youthtravel.tw/
教育部,青年發展署 ,Facebook,區域和平志工團,https://www.facebook.com/GYSD.NYC/
教育部,青年發展署 ,Facebook,青年政策大聯盟,https://www.facebook.com/YPU.NYC/
教育部,青年發展署 ,Facebook,青年和平志工團 Youth Volunteer Service for Peace,https://www.facebook.com/gysd.yda/
教育部,青年發展署 ,Facebook,教育部青年發展署,https://www.facebook.com/ydagov
教育部,國民及學前教育署 ,YouTube,國教署YouTube頻道,https://www.youtube.com/user/k12ea/
教育部,國民及學前教育署 ,Facebook,國教署Facebook粉絲團,https://www.facebook.com/pages/教育部國民及學前教育署/550853721668725/
教育部,國民及學前教育署 ,Flickr,國教署Flickr,https://www.flickr.com/photos/k12ea/
教育部,國民及學前教育署 ,其他,國教署Google+,https://plus.google.com/116048518292124514238/posts/
教育部,國立公共資訊圖書館,YouTube,國立公共資訊圖書館,https://www.youtube.com/user/theNLPI/
教育部,國立公共資訊圖書館,Facebook,國立公共資訊圖書館,https://www.facebook.com/ilibrary/
教育部,國立自然科學博物館 ,YouTube,國立自然科學博物館YouTube頻道,https://www.youtube.com/user/NMNSTW1/
教育部,國立自然科學博物館 ,Facebook,國立自然科學博物館,https://www.facebook.com/COBOFANS/
教育部,國立自然科學博物館 ,Facebook,921地震教育園區,https://www.facebook.com/921emtFANS/
教育部,國立自然科學博物館 ,Facebook,鳳凰谷鳥園生態園區,https://www.facebook.com/fonghuanggu/
教育部,國立自然科學博物館 ,Facebook,車籠埔斷層保存園區,https://www.facebook.com/nmnscfpp/
教育部,國立自然科學博物館 ,Facebook,自然學友之家,https://www.facebook.com/NaturalistCenter/
教育部,國立自然科學博物館 ,其他,國立自然科學博物館 Instagram,https://www.instagram.com/nmnstw/
教育部,國立科學工藝博物館 ,Facebook,國立科學工藝博物館,https://www.facebook.com/ilovenstm/
教育部,國立海洋生物博物館 ,Facebook,"Hello,海洋（海生館活動頁）",https://www.facebook.com/helloocean/
教育部,國立教育廣播電臺 ,Facebook,教育電台聲動全世界,https://www.facebook.com/educationradio/
教育部,國立臺灣科學教育館 ,YouTube,國立臺灣科學教育館,https://www.youtube.com/user/ntsec/
教育部,國立臺灣科學教育館 ,Facebook,科教館GO好玩,https://www.facebook.com/ntsec/
教育部,國立臺灣圖書館 ,Facebook,國立臺灣圖書館,https://www.facebook.com/pages/國立臺灣圖書館/873109812704792/
教育部,國立臺灣圖書館 ,Facebook,陽明山中山樓,https://www.facebook.com/陽明山中山樓-170430539771710/
教育部,國家教育研究院 ,Facebook,國家教育研究院,https://www.facebook.com/NAER330/
教育部,國家教育研究院 ,YouTube,國家教育研究院YouTube頻道,https://www.youtube.com/user/Naer330/
教育部,國家圖書館 ,Facebook,國家圖書館 National Central Library,https://www.facebook.com/ncl.tw/
教育部,國家圖書館 ,YouTube,National Central Library 國家圖書館,https://www.youtube.com/channel/UC1ZTP3hdBYdkBsssZzVZPfA
勞動部 ,勞工保險局 ,Blog,小花葵的部落格,http://imlabor.pixnet.net/blog
勞動部 ,勞工保險局 ,YouTube,勞動部勞工保險局,https://www.youtube.com/user/BLIgovtw/
勞動部 ,勞工保險局 ,Facebook,勞工保險局,https://www.facebook.com/ImLabor/
勞動部 ,勞動力發展署,YouTube,「職訓精采 就業滿百」就業好幫手,https://www.youtube.com/user/eJobs100/
勞動部 ,勞動力發展署,Facebook,台灣就業通 TaiwanJobs,https://www.facebook.com/jobsfamily/
勞動部 ,勞動力發展署,YouTube,勞動部勞動力發展署技能檢定中心 Skill Evaluation Center,https://www.youtube.com/user/LaborChanne/
勞動部 ,勞動力發展署,YouTube,勞動力發展署雲嘉南分署,https://www.youtube.com/user/yct066985945
勞動部 ,勞動力發展署,YouTube,勞動力發展署中彰投分署,https://www.youtube.com/user/tcnrvideo/
勞動部 ,勞動力發展署,YouTube,勞動部勞動力發展署,https://www.youtube.com/channel/UCW4_xAGMRUyNbB9IzchFhSw/
勞動部 ,勞動力發展署,YouTube,賈萳妮,https://www.youtube.com/user/jobnanny/
勞動部 ,勞動力發展署,YouTube,勞動力發展署桃竹苗分署,https://www.youtube.com/user/wdathm/
勞動部 ,勞動力發展署,Facebook,賈好嘉JobGoodjob 勞動力發展署雲嘉南分署,https://www.facebook.com/jobgoodjob/
勞動部 ,勞動力發展署,Facebook,賈中哥JobGogo 勞動力發展署中彰投分署,https://www.facebook.com/tcesa/
勞動部 ,勞動力發展署,Facebook,賈北伯JobBebe 勞動力發展署北基宜花金馬分署,https://www.facebook.com/JobBebe/
勞動部 ,勞動力發展署,Facebook,賈萳妮 JobNanny 勞動力發展署高屏澎東分署,https://www.facebook.com/jobnanny/
勞動部 ,勞動力發展署,Facebook,賈桃樂JobTaole 勞動力發展署桃竹苗分署,https://www.facebook.com/JobTaole1/
勞動部 ,勞動及職業安全衛生研究所 ,YouTube,勞動及職業安全衛生研究所,https://www.youtube.com/user/iosh88/
勞動部 ,勞動基金運用局 ,YouTube,勞動部勞動基金運用局,https://www.youtube.com/user/blfweb8590/
勞動部 ,勞動基金運用局 ,Flickr,勞動部勞動基金運用局,https://www.flickr.com/photos/blfweb/
勞動部 ,勞動基金運用局 ,其他,勞動部勞動基金運用局Google+,https://plus.google.com/103482873200335651069/posts
勞動部 ,職業安全衛生署,YouTube, 職業安全衛生署,https://www.youtube.com/user/cla2010100/
勞動部 ,職業安全衛生署,YouTube,勞動部職業安全衛生署 中區職業安全衛生中心,https://www.youtube.com/channel/UCdpNGnI3NVXqtFu7tcraszQ/
勞動部 ,職業安全衛生署,Facebook,勞動部職業安全衛生署 中區職業安全衛生中心,https://www.facebook.com/pages/勞動部職業安全衛生署-中區職業安全衛生中心/581587805256683/
勞動部 ,職業安全衛生署,Facebook,勞動部職業安全衛生署南區職業安全衛生中心,https://www.facebook.com/OSHA.S.TW/
經濟部,工業局 ,YouTube,經濟部工業局影音專區,https://www.youtube.com/channel/UCwQ3hBnmUgyThfC_9LGYFEQ/
經濟部,工業局 ,Facebook,台灣製產品MIT微笑標章,https://www.facebook.com/smilemit/
經濟部,工業局 ,Facebook,Taiwan E-Scooter電動機車,https://www.facebook.com/likeTES/
經濟部,工業局 ,Facebook,台灣發明讚,https://www.facebook.com/pages/台灣發明讚/241161945985243/
經濟部,工業局 ,Facebook,經濟部工業局,https://www.facebook.com/moeaidb/
經濟部,工業局 ,Facebook,經濟部產業競爭力發展中心,https://www.facebook.com/moeaiac/
經濟部,工業局 ,Facebook,黑豬金礦幫-Open Data,https://www.facebook.com/opendataup/
經濟部,工業局 ,Facebook,產業創新學院,https://www.facebook.com/taiwan.innovation/
經濟部,工業局 ,Facebook,創意生活情報粉絲俱樂部,https://www.facebook.com/CreativeLife.Taiwan/
經濟部,中小企業處 ,YouTube,經濟部中小企業處影音頻道,https://www.youtube.com/user/wwwsmea/
經濟部,中小企業處 ,Facebook,創業圓夢 Start-up Hub,https://www.facebook.com/StartUpTaiwan/
經濟部,中小企業處 ,Facebook,經濟部中小企業處,https://www.facebook.com/smea.gov.tw/
經濟部,水利署 ,Blog,Taiwan Water,http://taiwan-water.blogspot.tw/
經濟部,水利署 ,YouTube,水利影音,https://www.youtube.com/user/myeRiver/
經濟部,水利署 ,Facebook,E河川-交流水知識,https://www.facebook.com/tw.River/
經濟部,水利署 ,Plurk,阿滴仔,http://www.plurk.com/twnriver/
經濟部,加工出口區管理處,Blog,加工處從業員工服務中心部落格,http://d4x04.pixnet.net/blog/
經濟部,加工出口區管理處,Facebook,臺中分處FB專區,https://www.facebook.com/tepztanzi/
經濟部,加工出口區管理處,Facebook,經濟部加工出口區管理處從業員工服務中心,https://www.facebook.com/EmployeeServiceCenter/
經濟部,台灣中油股份有限公司 ,Facebook,台灣中油,https://www.facebook.com/台灣中油-688746077896655/
經濟部,台灣中油股份有限公司 ,YouTube,中油影城,https://www.youtube.com/channel/UCnsRxzc33qx9HHw-gyHrlKg
經濟部,台灣中油股份有限公司 ,Facebook,油來遊去,https://www.facebook.com/油來遊去-101968793478625/
經濟部,台灣電力股份有限公司 ,YouTube,台電影音網 TaipowerTV,https://www.youtube.com/user/TaipowerTV/
經濟部,台灣電力股份有限公司 ,Facebook,電力粉絲團,https://www.facebook.com/TaiwanPowerCompany/
經濟部,能源局 ,YouTube,能源局影音頻道,https://www.youtube.com/user/moeaboe1/
經濟部,能源局 ,Flickr,能源局相片分享,https://www.flickr.com/photos/moeaboe/
經濟部,國際貿易局 ,Flickr,國際貿易局活動相簿,https://www.flickr.com/photos/88664700@N04/
經濟部,國際貿易局 ,Facebook,經濟部國際貿易局,https://www.facebook.com/boft.gov.tw/
經濟部,國際貿易局 ,YouTube,經濟部國際貿易局影音專區,https://www.youtube.com/channel/UCElQAp4CpQ4X6_oElhCzICA/
經濟部,智慧財產局 ,YouTube,經濟部智慧財產局,https://www.youtube.com/channel/UCEYYK1IZw9KfdN7B3SXmzJQ/
經濟部,智慧財產局 ,Facebook,原創我挺你,https://www.facebook.com/copyright.com.tw/
經濟部,智慧財產局 ,Facebook,經濟部智慧財產局,https://www.facebook.com/TIPO.gov.tw/
經濟部,智慧財產局 ,Flickr,經濟部 智慧財產局,https://www.flickr.com/photos/94069931@N08/
經濟部,貿易調查委員會 ,YouTube,經濟部貿易調查委員會,https://www.youtube.com/user/moeaitc/
經濟部,貿易調查委員會 ,Flickr,經濟部貿易調查委員會,https://www.flickr.com/photos/moeaitc/
經濟部,漢翔航空工業股份有限公司 ,YouTube,漢翔公司 ,https://www.youtube.com/user/twAIDC/
經濟部,漢翔航空工業股份有限公司 ,Facebook,漢翔公司,https://www.facebook.com/twaidc/
經濟部,標準檢驗局 ,YouTube,標準檢驗局,https://www.youtube.com/user/dronekimo1/
經濟部,標準檢驗局 ,Facebook,小安心,https://www.facebook.com/bsmi.tainan/
經濟部,標準檢驗局 ,YouTube, 經濟部標準檢驗局臺南分局,https://www.youtube.com/channel/UCSVhkkA5xosPtbyd7qUKO-Q/
經濟部,礦務局 ,YouTube,經濟部礦務局,https://www.youtube.com/user/BOMminesweb/
經濟部,礦務局 ,Facebook,經濟部礦務局,https://www.facebook.com/bomminesweb/
衛生福利部 ,中央健康保險署 ,YouTube, 衛生福利部中央健康保險署 NHIA,https://www.youtube.com/user/myegovnhi/
衛生福利部 ,中央健康保險署 ,Facebook,健保署,https://www.facebook.com/nhi.gov.tw/
衛生福利部 ,中央健康保險署 ,其他,健保署,https://line.me/R/ti/p/%40dyk0948w
衛生福利部 ,食品藥物管理署 ,YouTube,食品藥物管理署,https://www.youtube.com/channel/UCReui6KGZZZQC0ihf8a4FUA/
衛生福利部 ,食品藥物管理署 ,Facebook,睡睡平安,https://www.facebook.com/sleepverywell/
衛生福利部 ,食品藥物管理署 ,Facebook,TFDA 化品安全使用,https://www.facebook.com/tfdacos/
衛生福利部 ,食品藥物管理署 ,Facebook,食用玩家,https://www.facebook.com/tfda2014.tw/
衛生福利部 ,疾病管制署 ,YouTube,衛生福利部疾病管制署,https://www.youtube.com/user/taiwancdc/
衛生福利部 ,疾病管制署 ,Facebook,1922防疫達人,https://www.facebook.com/TWCDC/
衛生福利部 ,疾病管制署 ,其他,l疾病管制署 Taiwan CDC,https://page.line.me/taiwancdc
衛生福利部 ,疾病管制署 ,其他,taiwancdc,https://www.instagram.com/taiwancdc/
衛生福利部 ,疾病管制署 ,其他,衛生福利部疾病管制署,https://www.slideshare.net/TAIWANCDC
衛生福利部 ,疾病管制署 ,其他,Taiwan CDC,https://taiwancdc.tumblr.com/
衛生福利部 ,國民健康署 ,YouTube,國民健康署 ,https://www.youtube.com/user/hpagov/
衛生福利部 ,國民健康署 ,Facebook,國民健康署,https://www.facebook.com/hpagov/
衛生福利部 ,國民健康署 ,Twitter,衛生福利部國民健康署,https://twitter.com/hpa_gov_tw/
衛生福利部 ,國民健康署 ,Plurk,國民健康署,http://www.plurk.com/hpagov/
衛生福利部 ,國民健康署 ,YouTube,健康九九,https://www.youtube.com/user/TheHealth99/
衛生福利部 ,國民健康署 ,YouTube,戒菸專線服務中心,https://www.youtube.com/user/TWSmokersHelpline/
衛生福利部 ,國民健康署 ,YouTube,肥胖防治網,https://www.youtube.com/channel/UC-bGvkTNL2_zU0ECjTmwdvg/
衛生福利部 ,國民健康署 ,YouTube,國民健康署高齡友善城市,https://www.youtube.com/channel/UCDi2iygV2Uz4Rrn7Hjsw_Lg/
衛生福利部 ,國民健康署 ,Facebook,健康九九網站,https://www.facebook.com/health99.tw/
衛生福利部 ,國民健康署 ,Facebook,孕產婦關懷粉絲團,https://www.facebook.com/pages/孕產婦關懷粉絲團/1450516745205390/
衛生福利部 ,國民健康署 ,Facebook,63抱抱,https://www.facebook.com/63bobo
衛生福利部 ,衛生福利部花蓮醫院 ,YouTube,衛生褔利部花蓮醫院,https://www.youtube.com/channel/UCJQ3fyUds5qdATMlWTA0ixg/
衛生福利部 ,衛生福利部花蓮醫院 ,Facebook,衛生褔利部花蓮醫院,https://www.facebook.com/hwln.hospital/
衛生福利部 ,衛生福利部桃園醫院 ,Facebook,衛生福利部桃園醫院,https://www.facebook.com/mohw.tygh/
衛生福利部 ,衛生福利部旗山醫院 ,Facebook,衛生福利部旗山醫院,https://www.facebook.com/pages/衛生福利部旗山醫院/156923554394399/
衛生福利部 ,衛生福利部臺中醫院 ,Facebook,衛生福利部臺中醫院,https://www.facebook.com/pages/衛生福利部臺中醫院/154891318024468/
衛生福利部 ,衛生福利部臺北醫院 ,Facebook,衛生福利部臺北醫院,https://www.facebook.com/tph.mohw/
衛生福利部 ,衛生福利部澎湖醫院 ,YouTube,澎湖醫院,https://www.youtube.com/channel/UClw9uPjDuXQ_zARjIT6QvUA/
衛生福利部 ,衛生福利部澎湖醫院 ,Facebook,澎湖醫院,https://www.facebook.com/penghuhospital/
,中央銀行 ,YouTube,中央銀行(TheCBCTube),https://www.youtube.com/user/TheCBCTube/
,中央銀行 ,Flickr,中央銀行,https://www.flickr.com/photos/cbcbank/
,中央選舉委員會,YouTube,中央選舉委員會,https://www.youtube.com/user/cec288/
,內政部,Flickr,內政部,https://www.flickr.com/photos/wwwmoigovtw/
,內政部,YouTube,內政部發言人室,https://www.youtube.com/user/wwwmoigovtw/
,內政部,Facebook,內政大小事,https://www.facebook.com/內政大小事-457582697603472/
,公平交易委員會 ,YouTube,公平交易委員會影音頻道,https://www.youtube.com/channel/UC1MU5_gzX9bWoE-Yhlm-HeQ/
,公平交易委員會 ,Flickr,公平交易委員會 活動照片集錦,https://www.flickr.com/photos/ftctaiwan/
,文化部 ,YouTube,文化部,https://www.youtube.com/user/mocnews0520/
,文化部 ,Facebook,文化部,https://www.facebook.com/WenHuaBu/
,外交部,YouTube, 中華民國外交部,https://www.youtube.com/user/taiwan2theworld/
,外交部,Flickr,"中華民國外交部 MOFA, R.O.C. (Taiwan)",https://www.flickr.com/photos/rocmofa/
,交通部,Facebook,美好生活的連結者,https://www.facebook.com/motcfilms/
,交通部,YouTube,美好生活的連結者,https://www.youtube.com/user/motcfilms/
